time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.1024,-0.0509,-0.5573,0.569
0.005000,-0.1094,-0.0472,-0.4253,0.442
0.005000,-0.1324,-0.0006,-0.2805,0.310
0.017000,-0.1294,0.0520,-0.1371,0.196
0.017000,-0.1756,0.0105,-0.1018,0.203
0.024000,-0.2018,0.1080,-0.0977,0.249
0.032000,-0.2047,0.2505,-0.0154,0.324
0.033000,-0.2453,0.2682,0.0687,0.370
0.033000,-0.3400,0.2114,0.1046,0.414
0.037000,-0.4381,0.1708,0.0360,0.472
0.044000,-0.5348,0.1275,-0.0676,0.554
0.048000,-0.4589,0.1175,-0.1702,0.503
0.053000,-0.3468,0.1078,-0.2412,0.436
0.057000,-0.2010,0.0605,-0.2522,0.328
0.061000,-0.1254,-0.0525,-0.1967,0.239
0.067000,-0.1138,-0.1879,-0.1678,0.276
0.072000,-0.0656,-0.2297,-0.1747,0.296
0.077000,0.1304,-0.1219,-0.2076,0.274
0.082000,0.2752,-0.0681,-0.1809,0.336
0.086000,0.3593,-0.0207,-0.1803,0.403
0.092000,0.2946,-0.1226,-0.1226,0.342
0.097000,0.2746,-0.2708,-0.0865,0.395
0.101000,0.3044,-0.3224,-0.1028,0.455
0.108000,0.3412,-0.3184,-0.1307,0.485
0.110000,0.3877,-0.2755,-0.1891,0.512
0.116000,0.3707,-0.2625,-0.3158,0.553
0.121000,0.2977,-0.2427,-0.4247,0.573
0.126000,0.1835,-0.2060,-0.5020,0.573
0.129000,0.1161,-0.1780,-0.5359,0.577
0.134000,0.0430,-0.1012,-0.5531,0.564
0.141000,0.0329,-0.0017,-0.5608,0.562
0.145000,0.0325,0.0870,-0.5782,0.586
0.150000,-0.0060,0.0322,-0.4863,0.487
0.153000,0.0316,-0.0179,-0.3455,0.347
0.166000,0.0778,-0.0803,-0.2225,0.249
0.166000,0.1871,-0.0795,-0.1363,0.245
0.172000,0.2732,-0.0712,-0.0888,0.296
0.179000,0.3430,-0.0820,-0.0488,0.356
0.180000,0.3892,-0.1170,0.0241,0.407
0.182000,0.4117,-0.1981,0.0823,0.464
0.188000,0.4079,-0.2207,0.0856,0.472
0.193000,0.4086,-0.2330,0.0415,0.472
0.198000,0.4018,-0.1855,0.0596,0.446
0.201000,0.3522,-0.1306,0.0967,0.388
0.207000,0.2920,-0.1135,0.1171,0.334
0.213000,0.2365,-0.0978,0.1279,0.286
0.217000,0.2244,-0.1069,0.0840,0.262
0.221000,0.2176,-0.1779,0.0501,0.286
0.226000,0.2259,-0.2365,0.0640,0.333
0.230000,0.2469,-0.2230,0.0824,0.343
0.237000,0.3121,-0.1021,0.1244,0.351
0.241000,0.3175,-0.0931,0.1304,0.356
0.246000,0.2427,-0.1761,0.1410,0.331
0.250000,0.1782,-0.3171,0.1086,0.380
0.255000,0.2137,-0.2780,0.0646,0.357
0.261000,0.2764,-0.1765,0.0992,0.343
0.266000,0.0482,-0.3455,0.1715,0.389
0.270000,0.0144,-0.3698,0.1172,0.388
0.283000,0.1920,-0.1440,0.0466,0.244
0.284000,0.2817,0.0190,0.0455,0.286
0.285000,0.1524,-0.0470,0.0895,0.183
0.296000,-0.0076,-0.1241,0.1806,0.219
0.296000,-0.0609,-0.1082,0.2686,0.296
0.298000,-0.0674,-0.0001,0.2989,0.306
0.303000,-0.1364,0.1280,0.2483,0.311
0.309000,-0.2393,0.1929,0.1626,0.348
0.313000,-0.3240,0.2191,0.1417,0.416
0.318000,-0.3980,0.2617,0.1732,0.507
0.322000,-0.4213,0.2992,0.2069,0.557
0.327000,-0.4537,0.2958,0.2569,0.599
0.333000,-0.4647,0.2967,0.2591,0.609
0.337000,-0.4453,0.2994,0.2803,0.605
0.342000,-0.4171,0.2753,0.3180,0.592
0.347000,-0.3825,0.2316,0.3293,0.555
0.351000,-0.3600,0.1829,0.3216,0.516
0.358000,-0.3133,0.1509,0.3141,0.469
0.362000,-0.2703,0.1591,0.2948,0.430
0.367000,-0.2352,0.1812,0.2306,0.376
0.371000,-0.2119,0.2055,0.1646,0.338
0.376000,-0.2067,0.1991,0.1205,0.311
0.381000,-0.1786,0.1910,0.1100,0.284
0.387000,-0.1438,0.1792,0.0900,0.247
0.406000,-0.1238,0.1519,0.0534,0.203
0.407000,-0.1188,0.1283,0.0337,0.178
0.407000,-0.0771,0.1107,0.0782,0.156
0.407000,-0.0136,0.0942,0.1223,0.155
0.419000,0.0286,0.0951,0.1826,0.208
0.419000,0.0163,0.1008,0.2281,0.250
0.420000,0.0071,0.1062,0.2424,0.265
0.427000,0.0006,0.0848,0.2804,0.293
0.431000,-0.0077,0.0864,0.2919,0.305
0.434000,-0.0133,0.0726,0.2892,0.299
0.439000,-0.0352,0.0792,0.2462,0.261
0.443000,-0.0449,0.0964,0.1776,0.207
0.448000,-0.0591,0.1149,0.1309,0.184
0.453000,-0.0919,0.1230,0.1344,0.204
0.458000,-0.0739,0.1164,0.0691,0.154
0.463000,-0.0359,0.0881,0.0091,0.096
0.467000,-0.0044,0.0436,-0.0148,0.046
0.472000,0.0281,0.0090,-0.0102,0.031
0.478000,0.0309,-0.0323,-0.0150,0.047
0.483000,0.0729,-0.0564,-0.0508,0.105
0.488000,0.1085,-0.0707,-0.0507,0.139
0.501000,0.1113,-0.1087,-0.0173,0.157
0.503000,0.0742,-0.0848,0.0015,0.113
0.503000,0.0425,-0.0518,0.0130,0.068
0.519000,-0.0032,-0.0313,0.0411,0.052
0.520000,-0.0104,-0.0136,0.0499,0.053
0.521000,-0.0295,-0.0008,0.0160,0.034
0.521000,-0.0275,0.0024,0.0013,0.028
0.527000,-0.0162,-0.0085,0.0272,0.033
0.530000,0.0210,-0.0144,0.0670,0.072
0.535000,0.0200,-0.0180,0.0685,0.074
0.540000,0.0476,-0.0597,0.0345,0.084
0.546000,0.0746,-0.0633,-0.0420,0.106
0.549000,0.1007,-0.0837,-0.0752,0.151
0.554000,0.1185,-0.0831,-0.0818,0.166
0.559000,0.1141,-0.0927,-0.0457,0.154
0.563000,0.1116,-0.0910,-0.0572,0.155
0.569000,0.0850,-0.1235,-0.0758,0.168
0.574000,0.0729,-0.1448,-0.0965,0.189
0.579000,0.0683,-0.1213,-0.1241,0.186
0.584000,0.0620,-0.1102,-0.1349,0.185
0.587000,0.0446,-0.1086,-0.1433,0.185
0.603000,0.0706,-0.0928,-0.1421,0.184
0.604000,0.0919,-0.1100,-0.1836,0.233
0.605000,0.0678,-0.1337,-0.2462,0.288
0.624000,0.0361,-0.1400,-0.2727,0.309
0.625000,0.0298,-0.1265,-0.2634,0.294
0.625000,0.0372,-0.1053,-0.2423,0.267
0.625000,0.0367,-0.0835,-0.2142,0.233
0.626000,0.0502,-0.0447,-0.2031,0.214
0.631000,0.0514,0.0016,-0.1944,0.201
0.635000,0.0238,0.0340,-0.1811,0.186
0.641000,-0.0062,0.0338,-0.1703,0.174
0.647000,-0.0243,0.0178,-0.0908,0.096
0.651000,-0.0425,0.0098,-0.0333,0.055
0.658000,-0.0204,-0.0095,0.0094,0.024
0.659000,-0.0013,-0.0117,0.0684,0.069
0.666000,0.0077,-0.0187,0.1340,0.135
0.670000,0.0234,-0.0283,0.1682,0.172
0.675000,0.0365,-0.0360,0.1761,0.183
0.680000,0.0352,-0.0610,0.1626,0.177
0.685000,0.0411,-0.0771,0.1373,0.163
0.691000,0.0542,-0.0607,0.1052,0.133
0.695000,0.0486,-0.0309,0.0852,0.103
0.700000,0.0390,-0.0164,0.0370,0.056
0.705000,0.0329,-0.0051,-0.0275,0.043
0.709000,0.0421,0.0056,-0.0891,0.099
0.714000,0.0473,0.0039,-0.1074,0.117
0.720000,0.0433,-0.0171,-0.1279,0.136
0.738000,0.0441,-0.0216,-0.1602,0.168
0.739000,0.0402,-0.0310,-0.1351,0.144
0.740000,0.0200,0.0001,-0.0795,0.082
0.740000,0.0051,0.0098,-0.0385,0.040
0.743000,-0.0160,0.0362,-0.0264,0.048
0.748000,-0.0388,0.0295,-0.0358,0.061
0.753000,-0.0543,0.0327,-0.0499,0.081
0.758000,-0.0627,0.0172,-0.0639,0.091
0.761000,-0.0429,0.0210,-0.0612,0.078
0.766000,-0.0260,0.0038,0.0009,0.026
0.771000,-0.0523,-0.0152,0.0078,0.055
0.777000,-0.0691,-0.0622,0.0171,0.095
0.780000,-0.0766,-0.0395,0.0144,0.087
0.786000,-0.0817,-0.0166,0.0235,0.087
0.791000,-0.0679,0.0043,0.0278,0.074
0.796000,-0.0805,0.0255,0.0131,0.085
0.800000,-0.1121,0.0374,0.0009,0.118
0.804000,-0.1175,0.0424,0.0124,0.126
0.811000,-0.1088,0.0072,-0.0022,0.109
0.816000,-0.1123,-0.0063,-0.0001,0.113
0.820000,-0.1018,-0.0150,-0.0051,0.103
0.837000,-0.1201,-0.0024,0.0089,0.120
0.838000,-0.0979,0.0052,-0.0080,0.098
0.839000,-0.0976,0.0432,-0.0105,0.107
0.856000,-0.0858,0.0307,-0.0249,0.094
0.857000,-0.0698,0.0367,-0.0438,0.090
0.859000,-0.0854,0.0019,-0.0009,0.085
0.859000,-0.0943,-0.0142,0.0394,0.103
0.859000,-0.0873,-0.0305,0.0295,0.097
0.863000,-0.0644,-0.0422,-0.0040,0.077
0.868000,-0.0379,-0.0419,0.0055,0.057
0.876000,-0.0148,-0.0178,0.0079,0.024
0.876000,-0.0139,0.0015,0.0244,0.028
0.883000,-0.0181,0.0375,0.0433,0.060
0.887000,-0.0128,0.0498,0.0809,0.096
0.892000,-0.0262,0.0195,0.1111,0.116
0.897000,-0.0175,0.0110,0.1600,0.161
0.900000,-0.0176,-0.0331,0.1777,0.182
0.907000,-0.0050,-0.0604,0.2022,0.211
0.912000,0.0132,-0.0595,0.1839,0.194
0.917000,0.0156,-0.0566,0.1704,0.180
0.921000,-0.0094,-0.0377,0.1737,0.178
0.925000,0.0098,0.0141,0.1413,0.142
0.931000,0.0065,0.0485,0.1210,0.131
0.936000,0.0042,0.0589,0.1151,0.129
0.953000,-0.0185,0.0454,0.0878,0.101
0.955000,-0.0098,0.0177,0.0560,0.060
0.955000,-0.0011,0.0235,0.0316,0.039
0.956000,0.0193,0.0366,0.0027,0.041
0.971000,0.0514,0.0472,0.0025,0.070
0.973000,0.0451,0.0364,-0.0096,0.059
0.973000,0.0247,-0.0097,-0.0311,0.041
0.973000,-0.0023,-0.0293,-0.0548,0.062
0.979000,0.0375,-0.0129,-0.0783,0.088
0.983000,0.0484,0.0202,-0.0493,0.072
0.991000,0.0497,0.0577,-0.0325,0.083
0.993000,0.0082,0.1043,-0.0016,0.105
0.996000,0.0237,0.1597,0.0243,0.163
1.003000,-0.0229,0.1788,0.0050,0.180
1.008000,-0.0484,0.1783,0.0096,0.185
1.012000,-0.0722,0.1703,0.0046,0.185
1.017000,-0.0489,0.1408,0.0117,0.150
1.021000,-0.0289,0.1377,-0.0122,0.141
1.034000,-0.0284,0.1323,-0.0146,0.136
1.035000,-0.0329,0.0965,-0.0097,0.102
1.037000,0.0124,0.0517,-0.0311,0.062
1.054000,0.0546,0.0266,-0.0594,0.085
1.055000,0.0821,-0.0027,-0.0804,0.115
1.056000,0.1137,-0.0196,-0.0608,0.130
1.056000,0.1089,-0.0268,-0.0437,0.120
1.061000,0.0968,0.0135,-0.0909,0.134
1.066000,0.0941,0.0583,-0.1330,0.173
1.069000,0.0626,0.0814,-0.1628,0.192
1.075000,0.0236,0.0901,-0.2019,0.222
1.080000,-0.0041,0.0677,-0.1978,0.209
1.085000,-0.0181,0.0455,-0.1748,0.182
1.090000,-0.0185,0.0496,-0.1330,0.143
1.093000,-0.0051,0.0796,-0.1176,0.142
1.099000,0.0271,0.0525,-0.1070,0.122
1.107000,0.0522,0.0494,-0.0919,0.117
1.109000,0.0824,0.0179,-0.0863,0.121
1.114000,0.0939,-0.0014,-0.0998,0.137
1.117000,0.0868,0.0082,-0.1014,0.134
1.125000,0.0757,0.0227,-0.1125,0.137
1.128000,0.0889,0.0373,-0.0973,0.137
1.133000,0.1049,0.0236,-0.0919,0.141
1.138000,0.1141,0.0197,-0.1102,0.160
1.153000,0.1047,0.0065,-0.0905,0.139
1.154000,0.0768,0.0029,-0.0922,0.120
1.154000,0.0802,0.0184,-0.0655,0.105
1.171000,0.0602,0.0051,-0.0438,0.075
1.172000,0.0239,-0.0106,-0.0507,0.057
1.172000,-0.0119,0.0046,-0.0552,0.057
1.173000,-0.0210,0.0339,-0.0834,0.092
1.176000,-0.0463,0.0583,-0.1161,0.138
1.181000,-0.0377,0.0232,-0.1130,0.121
1.185000,-0.0381,0.0146,-0.1621,0.167
1.190000,-0.0141,0.0157,-0.2085,0.210
1.196000,-0.0092,-0.0142,-0.1857,0.186
1.200000,0.0172,-0.0225,-0.1678,0.170
1.206000,0.0623,-0.0332,-0.1453,0.161
1.210000,0.0665,-0.0110,-0.1253,0.142
1.214000,0.0704,-0.0153,-0.1482,0.165
1.220000,0.0524,-0.0389,-0.1590,0.172
1.225000,0.0504,-0.0603,-0.1839,0.200
1.230000,0.0309,-0.0365,-0.1801,0.186
1.234000,-0.0081,-0.0011,-0.1549,0.155
1.253000,-0.0379,0.0270,-0.1395,0.147
1.254000,-0.0371,0.0362,-0.1621,0.170
1.254000,-0.0395,0.0719,-0.1703,0.189
1.255000,-0.0618,0.0485,-0.1547,0.174
1.271000,-0.0538,0.0426,-0.1131,0.132
1.272000,-0.0536,0.0135,-0.0363,0.066
1.272000,-0.0463,0.0138,0.0066,0.049
1.276000,0.0040,0.0336,0.0373,0.050
1.278000,-0.0194,0.0490,0.0677,0.086
1.281000,-0.0351,0.0434,0.1168,0.129
1.285000,-0.0666,0.0308,0.1679,0.183
1.292000,-0.0662,0.0230,0.2422,0.252
1.297000,-0.0696,0.0197,0.2708,0.280
1.301000,-0.0412,0.0373,0.2469,0.253
1.305000,-0.0121,0.0231,0.2660,0.267
1.310000,0.0177,0.0390,0.2612,0.265
1.316000,0.0507,0.0347,0.2350,0.243
1.321000,0.0486,0.0367,0.2162,0.225
1.326000,0.0497,0.0283,0.2094,0.217
1.331000,0.0607,0.0121,0.1980,0.207
1.335000,0.0581,-0.0045,0.1439,0.155
1.341000,0.0343,-0.0165,0.1236,0.129
1.345000,0.0203,0.0094,0.0796,0.083
1.350000,-0.0177,0.0093,0.0289,0.035
1.370000,-0.0488,0.0309,0.0166,0.060
1.371000,-0.0970,0.0436,0.0353,0.112
1.372000,-0.1267,0.0331,0.0325,0.135
1.372000,-0.1334,0.0497,0.0581,0.154
1.382000,-0.1317,0.0810,0.0860,0.177
1.383000,-0.1191,0.1127,0.0708,0.179
1.383000,-0.0980,0.0970,0.0558,0.149
1.390000,-0.0755,0.0696,0.1122,0.152
1.394000,-0.0653,0.0518,0.1752,0.194
1.399000,-0.0409,0.0172,0.2235,0.228
1.403000,-0.0257,0.0084,0.2096,0.211
1.407000,-0.0076,0.0225,0.1627,0.164
1.413000,0.0111,0.0168,0.1446,0.146
1.417000,0.0234,0.0268,0.0579,0.068
1.422000,0.0054,0.0289,0.0027,0.030
1.426000,-0.0044,0.0233,-0.0401,0.047
1.430000,0.0105,0.0623,-0.1015,0.120
1.436000,0.0166,0.0627,-0.1269,0.142
1.441000,0.0325,0.0605,-0.1591,0.173
1.446000,0.0201,0.0607,-0.1460,0.159
1.451000,0.0149,0.0586,-0.1021,0.119
1.456000,-0.0093,0.0638,-0.0680,0.094
1.462000,-0.0049,0.0358,-0.0129,0.038
1.466000,0.0089,0.0391,-0.0058,0.041
1.473000,0.0032,0.0569,-0.0082,0.058
1.475000,0.0092,0.0822,-0.0011,0.083
1.480000,0.0125,0.1219,0.0083,0.123
1.485000,-0.0034,0.1451,-0.0559,0.156
1.502000,-0.0171,0.1567,-0.1078,0.191
1.503000,-0.0332,0.1591,-0.1854,0.247
1.503000,-0.0303,0.1359,-0.2529,0.289
1.504000,-0.0085,0.1013,-0.2889,0.306
1.524000,-0.0203,0.0814,-0.3176,0.328
1.525000,0.0274,0.0784,-0.3080,0.319
1.525000,0.0867,0.0894,-0.3460,0.368
1.526000,0.1122,0.1165,-0.4026,0.434
1.527000,0.1160,0.1260,-0.4421,0.474
1.533000,0.0981,0.1253,-0.4693,0.496
1.540000,0.0967,0.1544,-0.5224,0.553
1.543000,0.0876,0.1632,-0.6011,0.629
1.546000,0.0830,0.1686,-0.6838,0.709
1.551000,0.0829,0.1992,-0.7729,0.802
1.558000,0.0968,0.1933,-0.8825,0.909
1.562000,0.0866,0.1821,-1.0102,1.030
1.567000,0.0502,0.1731,-1.1178,1.132
1.571000,0.0162,0.1450,-1.1913,1.200
1.575000,-0.0083,0.1220,-1.2665,1.272
1.581000,-0.0235,0.0924,-1.3435,1.347
1.586000,-0.0199,0.0634,-1.4435,1.445
1.598000,0.0071,0.0422,-1.5452,1.546
1.599000,0.0410,0.0291,-1.6697,1.670
1.600000,0.0699,0.0285,-1.7458,1.747
1.618000,0.1085,0.0288,-1.8712,1.875
1.620000,0.2134,0.0514,-2.1095,2.121
1.620000,0.3410,0.0749,-2.4266,2.452
1.621000,0.4834,0.0330,-2.7483,2.791
1.629000,0.6241,-0.0096,-3.0721,3.135
1.631000,0.6686,0.0135,-3.4408,3.505
1.634000,0.6626,0.0713,-4.0774,4.132
1.640000,0.7033,0.2185,-4.8640,4.919
1.643000,0.7589,0.3686,-5.6973,5.759
1.647000,0.7332,0.4949,-6.6754,6.734
1.653000,0.5321,0.6235,-7.5733,7.618
1.658000,0.1824,0.5954,-8.9363,8.958
1.664000,-0.2153,0.4503,-10.4625,10.474
1.667000,-0.6377,0.8751,-11.6088,11.659
1.673000,-0.9574,1.7003,-12.2322,12.387
1.678000,-1.8221,-0.3018,-14.0667,14.187
1.683000,-2.6963,-0.7393,-12.7466,13.050
1.690000,-1.1132,-0.3526,-10.3417,10.407
1.691000,-0.3529,-0.5109,-9.3688,9.389
1.696000,-0.4183,-0.4682,-9.3264,9.348
1.703000,-0.5001,-0.4520,-9.3145,9.339
1.718000,-0.5623,-0.4096,-9.2876,9.314
1.719000,-0.6482,-0.3768,-9.2647,9.295
1.720000,-0.7097,-0.3394,-9.2507,9.284
1.734000,-0.8114,-0.3189,-9.2194,9.260
1.735000,-0.8648,-0.2818,-9.1969,9.242
1.736000,-0.9369,-0.2568,-9.1642,9.216
1.736000,-1.0252,-0.2320,-9.1237,9.184
1.742000,-1.0891,-0.2145,-9.1017,9.169
1.744000,-1.1670,-0.1636,-9.0623,9.139
1.750000,-1.2419,-0.1392,-9.0247,9.111
1.754000,-1.3067,-0.1102,-9.0010,9.096
1.760000,-1.3828,-0.0790,-8.9670,9.073
1.763000,-1.4631,-0.0528,-8.9325,9.052
1.768000,-1.5357,-0.0267,-8.8855,9.017
1.774000,-1.6076,-0.0032,-8.8667,9.011
1.779000,-1.6741,0.0321,-8.8353,8.993
1.784000,-1.7494,0.0743,-8.7916,8.964
1.790000,-1.7977,0.0877,-8.7497,8.933
1.792000,-1.8717,0.1343,-8.7218,8.921
1.799000,-1.9330,0.1521,-8.6742,8.888
1.805000,-1.9958,0.1792,-8.6334,8.863
1.808000,-2.0651,0.2084,-8.5779,8.825
1.812000,-2.1287,0.2446,-8.5483,8.813
1.817000,-2.1939,0.2542,-8.5328,8.814
1.835000,-2.2535,0.2852,-8.4762,8.775
1.837000,-2.3098,0.3350,-8.4408,8.758
1.838000,-2.3772,0.3391,-8.3955,8.732
1.839000,-2.4317,0.3646,-8.3524,8.707
1.840000,-2.5069,0.3896,-8.2947,8.674
1.852000,-2.5572,0.4169,-8.2799,8.676
1.853000,-2.6066,0.4677,-8.2217,8.638
1.856000,-2.6716,0.4777,-8.1874,8.625
1.860000,-2.7261,0.4920,-8.1409,8.599
1.864000,-2.7796,0.5229,-8.0992,8.579
1.872000,-2.8226,0.5511,-8.0597,8.557
1.876000,-2.8716,0.5646,-8.0202,8.537
1.880000,-2.9268,0.6067,-7.9734,8.515
1.884000,-2.9952,0.6221,-7.9290,8.499
1.889000,-3.0387,0.6421,-7.8943,8.483
1.896000,-3.0881,0.6593,-7.8452,8.457
1.899000,-3.1245,0.6740,-7.8082,8.437
1.906000,-3.1692,0.7026,-7.7713,8.422
1.909000,-3.2248,0.7287,-7.7177,8.396
1.914000,-3.2648,0.7520,-7.6788,8.378
1.919000,-3.3107,0.7775,-7.6352,8.358
1.924000,-3.3363,0.8076,-7.5847,8.325
1.928000,-3.3773,0.8088,-7.5488,8.309
1.933000,-3.4219,0.8264,-7.5085,8.293
1.952000,-3.4580,0.8558,-7.4613,8.268
1.954000,-3.4880,0.8683,-7.4168,8.242
1.956000,-3.5454,0.8947,-7.3704,8.228
1.957000,-3.5703,0.9186,-7.3363,8.211
1.963000,-3.5939,0.9326,-7.3075,8.197
1.964000,-3.6210,0.9487,-7.2576,8.166
1.967000,-3.6730,0.9670,-7.2226,8.160
1.972000,-3.6805,0.9731,-7.1737,8.121
1.976000,-3.7272,1.0124,-7.1446,8.122
1.980000,-3.7438,1.0228,-7.0898,8.083
1.985000,-3.7589,1.0544,-7.0476,8.057
1.991000,-3.7725,1.0523,-7.0205,8.039
1.996000,-3.7894,1.0835,-6.9677,8.005
2.000000,-3.8168,1.0929,-6.9420,7.997
2.004000,-3.8426,1.1165,-6.9242,7.997
2.010000,-3.8549,1.1399,-6.8665,7.957
2.015000,-3.8584,1.1391,-6.8575,7.950
2.022000,-3.8627,1.1572,-6.8206,7.923
2.025000,-3.8868,1.1703,-6.7775,7.900
2.029000,-3.8878,1.1904,-6.7376,7.869
2.034000,-3.9039,1.2006,-6.7107,7.856
2.048000,-3.9063,1.2346,-6.6823,7.838
2.050000,-3.9021,1.2349,-6.6525,7.811
2.050000,-3.9154,1.2397,-6.6141,7.785
2.053000,-3.9198,1.2515,-6.5791,7.760
2.069000,-3.9200,1.2797,-6.5333,7.726
2.073000,-3.9135,1.2910,-6.5100,7.705
2.074000,-3.9005,1.3068,-6.4639,7.662
2.075000,-3.8998,1.3200,-6.4333,7.638
2.077000,-3.8710,1.3258,-6.3656,7.567
2.082000,-3.8712,1.3480,-6.2681,7.489
2.090000,-3.8595,1.3412,-6.0644,7.312
2.092000,-3.8451,1.3721,-5.3270,6.712
2.098000,24.0113,3.3923,45.5020,51.560
2.101000,74.9100,-28.6486,70.7214,106.929
2.118000,75.9467,-61.6791,70.1381,120.381
2.121000,77.1209,-55.2648,69.7179,117.739
2.124000,37.7307,-14.4496,55.1052,68.330
2.125000,-10.0942,9.2788,-5.3368,14.713
2.141000,-12.7473,7.3358,-14.6248,20.741
2.143000,-8.4660,2.8087,-13.3237,16.034
2.143000,-4.2675,0.1992,-11.0543,11.851
2.144000,-2.9954,-0.5550,-9.7638,10.228
2.152000,-3.2273,-0.7488,-9.0879,9.673
2.153000,-4.2037,-1.0926,-8.3282,9.393
2.165000,-4.7800,-1.3962,-7.8516,9.298
2.166000,-4.5810,-1.5045,-7.7613,9.137
2.167000,-3.7729,-1.2976,-8.0117,8.950
2.169000,-2.7301,-0.8769,-8.2863,8.768
2.178000,-1.8352,-0.4001,-8.5249,8.729
2.178000,-1.1679,-0.0379,-8.6507,8.729
2.184000,-0.6542,0.2278,-8.7017,8.729
2.196000,-0.3044,0.4362,-8.7163,8.732
2.196000,-0.0025,0.6406,-8.7062,8.730
2.197000,0.2018,0.7719,-8.7216,8.758
2.213000,0.2977,0.8640,-8.7362,8.784
2.214000,0.3120,0.9435,-8.7595,8.816
2.214000,0.2714,1.0177,-8.7387,8.802
2.219000,0.1977,1.0652,-8.7244,8.791
2.232000,0.1221,1.1170,-8.7043,8.777
2.233000,0.0590,1.1733,-8.6404,8.720
2.234000,-0.0132,1.2123,-8.5853,8.671
2.237000,-0.0991,1.2819,-8.5247,8.621
2.243000,-0.1651,1.3247,-8.4849,8.589
2.247000,-0.2425,1.3718,-8.4348,8.549
2.252000,-0.2954,1.4255,-8.3936,8.519
2.263000,-0.3813,1.4785,-8.2657,8.406
2.265000,-0.4732,1.5777,-7.7259,7.900
2.266000,-0.0486,2.2638,-3.2076,3.926
2.269000,0.5582,3.3584,4.2792,5.468
2.283000,0.8113,3.8897,9.0544,9.888
2.285000,0.6724,3.8003,11.3261,11.966
2.286000,0.2749,3.2459,11.7755,12.218
2.307000,-0.1817,2.5200,11.7097,11.979
2.310000,-0.2353,1.9818,12.1563,12.319
2.311000,-0.1739,1.4921,12.9781,13.065
2.312000,0.1017,0.7999,14.7113,14.733
2.313000,0.5058,-0.4524,14.3445,14.361
2.314000,0.9822,-0.8787,12.2729,12.343
2.318000,1.6454,-0.3683,9.2964,9.448
2.324000,2.1804,0.1223,6.5494,6.904
2.328000,2.5753,0.3062,4.8434,5.494
2.333000,2.6056,0.4328,3.1009,4.073
2.338000,2.1847,0.8579,0.7179,2.454
2.342000,1.1926,1.5857,-1.6374,2.573
2.348000,-0.3465,2.5173,-3.1408,4.040
2.355000,-1.7215,3.1514,-3.4344,4.969
2.358000,-2.4001,3.1952,-3.2592,5.157
